Case Nr,Case Record Type,Subject,Age in Days,Case Origin,Potential Liability,Case Reason,Status,First Contact Resolution,Priority,CSAT
CN-0000233,CSAT,CN-0000233 - Breakdown - Phone,5,Phone,FALSE,Breakdown,Closed,FALSE,Low,9000
CN-0000234,CSAT,CN-0000234 - Installation - Phone,24,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000235,CSAT,CN-0000235 - Installation - Phone,30,Phone,FALSE,Installation,Working,TRUE,Low,-400
CN-0000236,CSAT,CN-0000236 - Equipment Complexity - Phone,44,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-1200
CN-0000237,CSAT,CN-0000237 - Installation - Phone,8,Phone,FALSE,Installation,Closed,FALSE,Medium,3600
CN-0000238,CSAT,CN-0000238 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000239,CSAT,CN-0000239 - Installation - Phone,33,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000240,CSAT,CN-0000240 - Equipment Complexity - Chat,30,Chat,FALSE,Equipment Complexity,Working,TRUE,Low,-2400
CN-0000241,CSAT,CN-0000241 - Equipment Complexity - Email,30,Email,FALSE,Equipment Complexity,Working,FALSE,Low,1600
CN-0000242,CSAT,CN-0000242 - Installation - Phone,29,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000243,CSAT,CN-0000243 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000244,CSAT,CN-0000244 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000245,CSAT,CN-0000245 - Equipment Design - Email,44,Email,TRUE,Equipment Design,Working,TRUE,High,-5400
CN-0000246,CSAT,CN-0000246 - Installation - Phone,25,Phone,FALSE,Installation,Working,TRUE,Low,-500
CN-0000247,CSAT,CN-0000247 - Installation - Phone,24,Phone,FALSE,Installation,Closed,FALSE,Medium,3000
CN-0000248,CSAT,CN-0000248 - Equipment Complexity - Phone,37,Phone,TRUE,Equipment Complexity,New,FALSE,High,3600
CN-0000249,CSAT,CN-0000249 - Equipment Complexity - Phone,54,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-900
CN-0000250,CSAT,CN-0000250 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000251,CSAT,CN-0000251 - Equipment Complexity - Phone,29,Phone,FALSE,Equipment Complexity,New,TRUE,Low,-2000
CN-0000252,CSAT,CN-0000252 - Installation - Phone,62,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000253,CSAT,CN-0000253 - Equipment Complexity - Phone,30,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-600
CN-0000254,CSAT,CN-0000254 - Installation - Phone,41,Phone,FALSE,Installation,Closed,TRUE,Low,-1200
CN-0000255,CSAT,CN-0000255 - Installation - Chat,29,Chat,FALSE,Installation,Closed,FALSE,Low,4500
CN-0000256,CSAT,CN-0000256 - Installation - Chat,30,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000257,CSAT,CN-0000257 - Installation - Phone,30,Phone,FALSE,Installation,Working,FALSE,High,1200
CN-0000258,CSAT,CN-0000258 - Installation - Chat,35,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000259,CSAT,CN-0000259 - Installation - Phone,50,Phone,FALSE,Installation,New,FALSE,Medium,1200
CN-0000260,CSAT,CN-0000260 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000261,CSAT,CN-0000261 - Breakdown - Phone,3,Phone,TRUE,Breakdown,Closed,FALSE,Low,6750
CN-0000262,CSAT,CN-0000262 - Equipment Complexity - Phone,52,Phone,TRUE,Equipment Complexity,New,TRUE,High,-2700
CN-0000263,CSAT,CN-0000263 - Installation - Phone,40,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000264,CSAT,CN-0000264 - Installation - Email,30,Email,FALSE,Installation,Working,TRUE,Low,-800
CN-0000265,CSAT,CN-0000265 - Installation - Phone,36,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000266,CSAT,CN-0000266 - Breakdown - Phone,16,Phone,TRUE,Breakdown,New,TRUE,Low,-3750
CN-0000267,CSAT,CN-0000267 - Equipment Complexity - Phone,25,Phone,TRUE,Equipment Complexity,Working,FALSE,Low,750
CN-0000268,CSAT,CN-0000268 - Installation - Phone,58,Phone,FALSE,Installation,New,FALSE,High,1800
CN-0000269,CSAT,CN-0000269 - Installation - Phone,35,Phone,FALSE,Installation,Working,FALSE,High,1200
CN-0000270,CSAT,CN-0000270 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000271,CSAT,CN-0000271 - Installation - Phone,25,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000272,CSAT,CN-0000272 - Installation - Phone,41,Phone,FALSE,Installation,New,FALSE,Medium,1600
CN-0000273,CSAT,CN-0000273 - Installation - Chat,37,Chat,TRUE,Installation,New,TRUE,High,-5400
CN-0000274,CSAT,CN-0000274 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000275,CSAT,CN-0000275 - Equipment Complexity - Phone,63,Phone,FALSE,Equipment Complexity,Working,FALSE,High,1800
CN-0000276,CSAT,CN-0000276 - Installation - Phone,45,Phone,FALSE,Installation,Working,TRUE,Low,-400
CN-0000277,CSAT,CN-0000277 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000278,CSAT,CN-0000278 - Breakdown - Email,7,Email,TRUE,Breakdown,New,TRUE,Low,-9000
CN-0000279,CSAT,CN-0000279 - Equipment Complexity - Phone,35,Phone,FALSE,Equipment Complexity,New,FALSE,Low,1600
CN-0000280,CSAT,CN-0000280 - Installation - Email,65,Email,TRUE,Installation,Working,TRUE,Low,-450
CN-0000281,CSAT,CN-0000281 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000282,CSAT,CN-0000282 - Installation - Phone,16,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000283,CSAT,CN-0000283 - Installation - Phone,19,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000284,CSAT,CN-0000284 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000285,CSAT,CN-0000285 - Installation - Chat,33,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000286,CSAT,CN-0000286 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000287,CSAT,CN-0000287 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000288,CSAT,CN-0000288 - Installation - Phone,42,Phone,TRUE,Installation,Working,FALSE,Medium,600
CN-0000289,CSAT,CN-0000289 - Installation - Email,22,Email,FALSE,Installation,Working,FALSE,Low,1000
CN-0000290,CSAT,CN-0000290 - Installation - Phone,26,Phone,FALSE,Installation,Working,FALSE,High,1500
CN-0000291,CSAT,CN-0000291 - Equipment Complexity - Chat,19,Chat,FALSE,Equipment Complexity,Working,FALSE,High,9000
CN-0000292,CSAT,CN-0000292 - Installation - Chat,36,Chat,TRUE,Installation,Working,TRUE,Medium,-1800
CN-0000293,CSAT,CN-0000293 - Installation - Phone,24,Phone,FALSE,Installation,Working,TRUE,Low,-500
CN-0000294,CSAT,CN-0000294 - Installation - Phone,24,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000295,CSAT,CN-0000295 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,High,-2700
CN-0000296,CSAT,CN-0000296 - Installation - Chat,24,Chat,TRUE,Installation,Working,TRUE,Low,-1125
CN-0000297,CSAT,CN-0000297 - Equipment Complexity - Phone,2,Phone,FALSE,Equipment Complexity,Closed,TRUE,High,-10800
CN-0000298,CSAT,CN-0000298 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000299,CSAT,CN-0000299 - Installation - Chat,50,Chat,FALSE,Installation,New,FALSE,High,5400
CN-0000300,CSAT,CN-0000300 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000301,CSAT,CN-0000301 - Equipment Design - Email,30,Email,TRUE,Equipment Design,Working,FALSE,Low,1800
CN-0000302,CSAT,CN-0000302 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000303,CSAT,CN-0000303 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Medium,1600
CN-0000304,CSAT,CN-0000304 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000305,CSAT,CN-0000305 - Equipment Complexity - Phone,1,Phone,TRUE,Equipment Complexity,Closed,FALSE,High,8100
CN-0000306,CSAT,CN-0000306 - Installation - Chat,30,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000307,CSAT,CN-0000307 - Equipment Complexity - Chat,17,Chat,FALSE,Equipment Complexity,Working,FALSE,High,9000
CN-0000308,CSAT,CN-0000308 - Equipment Complexity - Chat,30,Chat,TRUE,Equipment Complexity,Working,TRUE,Medium,-3600
CN-0000309,CSAT,CN-0000309 - Installation - Chat,30,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000310,CSAT,CN-0000310 - Installation - Chat,24,Chat,FALSE,Installation,Working,FALSE,High,4500
CN-0000311,CSAT,CN-0000311 - Equipment Design - Chat,18,Chat,FALSE,Equipment Design,Closed,FALSE,High,40500
CN-0000312,CSAT,CN-0000312 - Equipment Complexity - Phone,26,Phone,FALSE,Equipment Complexity,New,TRUE,Medium,-4000
CN-0000313,CSAT,CN-0000313 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000314,CSAT,CN-0000314 - Equipment Complexity - Phone,43,Phone,TRUE,Equipment Complexity,New,TRUE,Medium,-2400
CN-0000315,CSAT,CN-0000315 - Installation - Phone,26,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000316,CSAT,CN-0000316 - Equipment Complexity - Phone,24,Phone,FALSE,Equipment Complexity,Working,FALSE,Medium,2000
CN-0000317,CSAT,CN-0000317 - Installation - Phone,54,Phone,TRUE,Installation,Working,TRUE,Medium,-450
CN-0000318,CSAT,CN-0000318 - Installation - Phone,31,Phone,FALSE,Installation,Closed,FALSE,High,3600
CN-0000319,CSAT,CN-0000319 - Equipment Complexity - Chat,40,Chat,FALSE,Equipment Complexity,New,FALSE,High,14400
CN-0000320,CSAT,CN-0000320 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000321,CSAT,CN-0000321 - Installation - Phone,27,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000322,CSAT,CN-0000322 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Medium,1600
CN-0000323,CSAT,CN-0000323 - Equipment Complexity - Phone,22,Phone,FALSE,Equipment Complexity,New,FALSE,Medium,4000
CN-0000324,CSAT,CN-0000324 - Other - Phone,30,Phone,TRUE,Other,Closed,TRUE,Low,-8100
CN-0000325,CSAT,CN-0000325 - Installation - Chat,36,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000326,CSAT,CN-0000326 - Installation - Phone,61,Phone,TRUE,Installation,Working,TRUE,Low,-225
CN-0000327,CSAT,CN-0000327 - Installation - Phone,36,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000328,CSAT,CN-0000328 - Equipment Complexity - Phone,31,Phone,FALSE,Equipment Complexity,New,FALSE,Low,1600
CN-0000329,CSAT,CN-0000329 - Installation - Chat,16,Chat,FALSE,Installation,New,FALSE,High,9000
CN-0000330,CSAT,CN-0000330 - Equipment Design - Email,30,Email,FALSE,Equipment Design,Working,FALSE,Low,2400
CN-0000331,CSAT,CN-0000331 - Installation - Phone,46,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000332,CSAT,CN-0000332 - Installation - Phone,38,Phone,TRUE,Installation,New,TRUE,High,-1800
CN-0000333,CSAT,CN-0000333 - Equipment Design - Phone,16,Phone,TRUE,Equipment Design,Working,TRUE,Low,-1125
CN-0000334,CSAT,CN-0000334 - Equipment Complexity - Phone,30,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000335,CSAT,CN-0000335 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000336,CSAT,CN-0000336 - Equipment Complexity - Phone,29,Phone,TRUE,Equipment Complexity,Working,TRUE,High,-2250
CN-0000337,CSAT,CN-0000337 - Installation - Chat,41,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000338,CSAT,CN-0000338 - Installation - Phone,45,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000339,CSAT,CN-0000339 - Installation - Phone,45,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000340,CSAT,CN-0000340 - Equipment Complexity - Phone,2,Phone,TRUE,Equipment Complexity,New,FALSE,Medium,3600
CN-0000341,CSAT,CN-0000341 - Performance - Phone,24,Phone,FALSE,Performance,Closed,FALSE,High,18000
CN-0000342,CSAT,CN-0000342 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000343,CSAT,CN-0000343 - Installation - Phone,25,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000344,CSAT,CN-0000344 - Installation - Phone,36,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000345,CSAT,CN-0000345 - Installation - Phone,24,Phone,FALSE,Installation,Working,FALSE,Medium,1000
CN-0000346,CSAT,CN-0000346 - Installation - Phone,40,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000347,CSAT,CN-0000347 - Equipment Complexity - Phone,30,Phone,FALSE,Equipment Complexity,Working,FALSE,Low,800
CN-0000348,CSAT,CN-0000348 - Equipment Complexity - Phone,3,Phone,TRUE,Equipment Complexity,New,FALSE,Low,1800
CN-0000349,CSAT,CN-0000349 - Installation - Phone,42,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000350,CSAT,CN-0000350 - Installation - Phone,23,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000351,CSAT,CN-0000351 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000352,CSAT,CN-0000352 - Equipment Complexity - Chat,15,Chat,TRUE,Equipment Complexity,New,TRUE,Low,-4500
CN-0000353,CSAT,CN-0000353 - Equipment Complexity - Phone,25,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-750
CN-0000354,CSAT,CN-0000354 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000355,CSAT,CN-0000355 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000356,CSAT,CN-0000356 - Installation - Phone,22,Phone,FALSE,Installation,New,FALSE,High,3000
CN-0000357,CSAT,CN-0000357 - Installation - Phone,38,Phone,FALSE,Installation,Working,TRUE,Medium,-800
CN-0000358,CSAT,CN-0000358 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000359,CSAT,CN-0000359 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000360,CSAT,CN-0000360 - Equipment Complexity - Phone,40,Phone,TRUE,Equipment Complexity,Escalated,TRUE,Low,-3000
CN-0000361,CSAT,CN-0000361 - Equipment Complexity - Chat,29,Chat,TRUE,Equipment Complexity,Working,TRUE,Medium,-4500
CN-0000362,CSAT,CN-0000362 - Installation - Chat,45,Chat,FALSE,Installation,New,TRUE,Low,-2400
CN-0000363,CSAT,CN-0000363 - Installation - Phone,35,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000364,CSAT,CN-0000364 - Equipment Complexity - Email,30,Email,TRUE,Equipment Complexity,Working,TRUE,Low,-1200
CN-0000365,CSAT,CN-0000365 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000366,CSAT,CN-0000366 - Equipment Complexity - Chat,60,Chat,FALSE,Equipment Complexity,Working,FALSE,High,5400
CN-0000367,CSAT,CN-0000367 - Installation - Chat,30,Chat,FALSE,Installation,Working,FALSE,Low,1200
CN-0000368,CSAT,CN-0000368 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000369,CSAT,CN-0000369 - Installation - Chat,24,Chat,FALSE,Installation,Working,FALSE,High,4500
CN-0000370,CSAT,CN-0000370 - Equipment Complexity - Chat,25,Chat,TRUE,Equipment Complexity,Working,FALSE,High,6750
CN-0000371,CSAT,CN-0000371 - Equipment Complexity - Phone,18,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-750
CN-0000372,CSAT,CN-0000372 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000373,CSAT,CN-0000373 - Installation - Chat,22,Chat,TRUE,Installation,Working,TRUE,High,-3375
CN-0000374,CSAT,CN-0000374 - Performance - Phone,3,Phone,FALSE,Performance,New,TRUE,Low,-4800
CN-0000375,CSAT,CN-0000375 - Equipment Complexity - Chat,30,Chat,FALSE,Equipment Complexity,Working,FALSE,High,7200
CN-0000376,CSAT,CN-0000376 - Installation - Phone,22,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000377,CSAT,CN-0000377 - Installation - Chat,27,Chat,TRUE,Installation,Closed,TRUE,High,-10125
CN-0000378,CSAT,CN-0000378 - Installation - Chat,20,Chat,TRUE,Installation,Working,TRUE,Low,-1125
CN-0000379,CSAT,CN-0000379 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000380,CSAT,CN-0000380 - Installation - Chat,42,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000381,CSAT,CN-0000381 - Installation - Chat,1,Chat,FALSE,Installation,Closed,FALSE,Low,5400
CN-0000382,CSAT,CN-0000382 - Installation - Phone,32,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000383,CSAT,CN-0000383 - Equipment Complexity - Phone,35,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000384,CSAT,CN-0000384 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000385,CSAT,CN-0000385 - Installation - Phone,18,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000386,CSAT,CN-0000386 - Feedback - Phone,1,Phone,TRUE,Feedback,Closed,TRUE,Low,-8100
CN-0000387,CSAT,CN-0000387 - Installation - Phone,36,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000388,CSAT,CN-0000388 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000389,CSAT,CN-0000389 - Installation - Chat,17,Chat,FALSE,Installation,Working,FALSE,Medium,3000
CN-0000390,CSAT,CN-0000390 - Equipment Complexity - Phone,36,Phone,TRUE,Equipment Complexity,Closed,FALSE,High,5400
CN-0000391,CSAT,CN-0000391 - Installation - Phone,21,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000392,CSAT,CN-0000392 - Equipment Design - Phone,28,Phone,TRUE,Equipment Design,Working,TRUE,Low,-1125
CN-0000393,CSAT,CN-0000393 - Equipment Complexity - Chat,23,Chat,FALSE,Equipment Complexity,Working,FALSE,High,9000
CN-0000394,CSAT,CN-0000394 - Installation - Phone,24,Phone,FALSE,Installation,Closed,FALSE,Low,1500
CN-0000395,CSAT,CN-0000395 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000396,CSAT,CN-0000396 - Installation - Phone,31,Phone,FALSE,Installation,Working,TRUE,Low,-400
CN-0000397,CSAT,CN-0000397 - Installation - Phone,46,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000398,CSAT,CN-0000398 - Installation - Phone,23,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000399,CSAT,CN-0000399 - Installation - Phone,28,Phone,FALSE,Installation,Working,FALSE,Medium,1000
CN-0000400,CSAT,CN-0000400 - Installation - Phone,39,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000401,CSAT,CN-0000401 - Installation - Phone,26,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000402,CSAT,CN-0000402 - Equipment Complexity - Phone,21,Phone,FALSE,Equipment Complexity,Working,TRUE,Low,-1000
CN-0000403,CSAT,CN-0000403 - Equipment Complexity - Phone,28,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-750
CN-0000404,CSAT,CN-0000404 - Installation - Phone,20,Phone,FALSE,Installation,Working,TRUE,Low,-500
CN-0000405,CSAT,CN-0000405 - Equipment Complexity - Phone,34,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-1200
CN-0000406,CSAT,CN-0000406 - Installation - Phone,51,Phone,TRUE,Installation,Working,TRUE,Low,-225
CN-0000407,CSAT,CN-0000407 - Equipment Complexity - Phone,3,Phone,TRUE,Equipment Complexity,New,FALSE,Medium,3600
CN-0000408,CSAT,CN-0000408 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000409,CSAT,CN-0000409 - Performance - Phone,30,Phone,FALSE,Performance,New,TRUE,Low,-3200
CN-0000410,CSAT,CN-0000410 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000411,CSAT,CN-0000411 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000412,CSAT,CN-0000412 - Equipment Complexity - Email,33,Email,FALSE,Equipment Complexity,Working,FALSE,High,4800
CN-0000413,CSAT,CN-0000413 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000414,CSAT,CN-0000414 - Installation - Phone,44,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000415,CSAT,CN-0000415 - Installation - Phone,30,Phone,FALSE,Installation,Working,TRUE,Low,-400
CN-0000416,CSAT,CN-0000416 - Equipment Complexity - Phone,34,Phone,FALSE,Equipment Complexity,New,FALSE,Medium,3200
CN-0000417,CSAT,CN-0000417 - Installation - Phone,18,Phone,FALSE,Installation,Closed,FALSE,Medium,3000
CN-0000418,CSAT,CN-0000418 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000419,CSAT,CN-0000419 - Installation - Phone,10,Phone,FALSE,Installation,Closed,TRUE,Low,-1500
CN-0000420,CSAT,CN-0000420 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000421,CSAT,CN-0000421 - Installation - Email,21,Email,TRUE,Installation,Working,TRUE,Low,-750
CN-0000422,CSAT,CN-0000422 - Installation - Phone,29,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000423,CSAT,CN-0000423 - Equipment Complexity - Phone,28,Phone,FALSE,Equipment Complexity,New,TRUE,Low,-2000
CN-0000424,CSAT,CN-0000424 - Equipment Complexity - Phone,18,Phone,TRUE,Equipment Complexity,New,TRUE,Low,-1500
CN-0000425,CSAT,CN-0000425 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000426,CSAT,CN-0000426 - Equipment Complexity - Phone,28,Phone,FALSE,Equipment Complexity,Working,FALSE,Medium,2000
CN-0000427,CSAT,CN-0000427 - Installation - Phone,19,Phone,FALSE,Installation,Working,FALSE,Medium,1000
CN-0000428,CSAT,CN-0000428 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000429,CSAT,CN-0000429 - Installation - Phone,32,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000430,CSAT,CN-0000430 - Installation - Phone,28,Phone,TRUE,Installation,Working,FALSE,High,1125
CN-0000431,CSAT,CN-0000431 - Equipment Complexity - Phone,30,Phone,FALSE,Equipment Complexity,Working,FALSE,Low,800
CN-0000432,CSAT,CN-0000432 - Equipment Complexity - Phone,42,Phone,FALSE,Equipment Complexity,Working,FALSE,Medium,1600
CN-0000433,CSAT,CN-0000433 - Installation - Phone,17,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000434,CSAT,CN-0000434 - Equipment Complexity - Phone,50,Phone,TRUE,Equipment Complexity,Working,TRUE,High,-1350
CN-0000435,CSAT,CN-0000435 - Equipment Complexity - Phone,14,Phone,FALSE,Equipment Complexity,Closed,FALSE,High,9000
CN-0000436,CSAT,CN-0000436 - Equipment Design - Phone,21,Phone,FALSE,Equipment Design,Closed,TRUE,Low,-4500
CN-0000437,CSAT,CN-0000437 - Equipment Design - Phone,24,Phone,FALSE,Equipment Design,Waiting on Customer,FALSE,Medium,12000
CN-0000438,CSAT,CN-0000438 - Equipment Complexity - Phone,64,Phone,TRUE,Equipment Complexity,Escalated,TRUE,High,-6750
CN-0000439,CSAT,CN-0000439 - Installation - Phone,31,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000440,CSAT,CN-0000440 - Equipment Complexity - Phone,45,Phone,FALSE,Equipment Complexity,New,FALSE,Medium,3200
CN-0000441,CSAT,CN-0000441 - Installation - Phone,20,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000442,CSAT,CN-0000442 - Equipment Complexity - Phone,25,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-750
CN-0000443,CSAT,CN-0000443 - Installation - Phone,28,Phone,FALSE,Installation,Working,FALSE,Medium,1000
CN-0000444,CSAT,CN-0000444 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000445,CSAT,CN-0000445 - Installation - Phone,4,Phone,TRUE,Installation,Closed,FALSE,High,4050
CN-0000446,CSAT,CN-0000446 - Installation - Phone,13,Phone,FALSE,Installation,New,FALSE,Medium,2000
CN-0000447,CSAT,CN-0000447 - Installation - Phone,34,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000448,CSAT,CN-0000448 - Equipment Design - Chat,5,Chat,FALSE,Equipment Design,New,FALSE,Low,10800
CN-0000449,CSAT,CN-0000449 - Installation - Phone,52,Phone,TRUE,Installation,Working,FALSE,High,675
CN-0000450,CSAT,CN-0000450 - Equipment Complexity - Phone,36,Phone,TRUE,Equipment Complexity,Closed,TRUE,Medium,-3600
CN-0000451,CSAT,CN-0000451 - Equipment Complexity - Phone,30,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-600
CN-0000452,CSAT,CN-0000452 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,High,-2700
CN-0000453,CSAT,CN-0000453 - Equipment Complexity - Chat,49,Chat,TRUE,Equipment Complexity,Working,FALSE,High,5400
CN-0000454,CSAT,CN-0000454 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000455,CSAT,CN-0000455 - Installation - Chat,29,Chat,TRUE,Installation,Working,FALSE,Low,1125
CN-0000456,CSAT,CN-0000456 - Installation - Phone,65,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000457,CSAT,CN-0000457 - Equipment Complexity - Phone,30,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000458,CSAT,CN-0000458 - Installation - Phone,50,Phone,FALSE,Installation,Working,FALSE,Medium,600
CN-0000459,CSAT,CN-0000459 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000460,CSAT,CN-0000460 - Installation - Phone,48,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000461,CSAT,CN-0000461 - Installation - Phone,34,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000462,CSAT,CN-0000462 - Installation - Phone,47,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000463,CSAT,CN-0000463 - Installation - Phone,48,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000464,CSAT,CN-0000464 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000465,CSAT,CN-0000465 - Installation - Phone,38,Phone,TRUE,Installation,Working,TRUE,Low,-300
